,Unnamed: 0,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
205,205,2013,Beijing,36.0,23.0,29.9,36.9,23.0,30.3,17.5,49.7,0.0,0,0.0,,,,,18.0,79.8,1000.9,67.1,25.6,275.3,23.7,8,,2013-07-25T05:06:29,2013-07-25T19:34:56,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
2721,2721,2020,Beijing,36.0,21.0,29.3,33.8,21.0,28.1,7.2,26.2,0.0,0,0.0,,0.0,0.0,46.8,21.6,280.7,1007.3,0.0,12.6,360.4,31.2,10,,2020-06-14T04:45:24,2020-06-14T19:44:18,0.77,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
953,953,2015,Beijing,36.0,23.0,29.3,39.4,23.0,31.5,21.8,67.2,0.0,0,0.0,,,,,18.0,180.3,1005.8,18.9,7.5,285.4,24.6,9,,2015-08-12T05:22:34,2015-08-12T19:15:57,0.91,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
169,169,2013,Beijing,36.0,21.0,29.2,33.9,21.0,28.6,14.5,46.8,0.0,0,0.0,,,,,10.8,105.7,1002.1,40.5,15.4,332.3,28.9,10,,2013-06-19T04:45:43,2013-06-19T19:45:51,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2000,2000,2018,Beijing,36.0,24.0,30.5,38.1,24.0,31.9,19.1,52.2,0.0,0,0.0,,0.0,0.0,,18.0,170.2,1001.9,77.4,10.7,172.4,15.0,6,,2018-06-24T04:46:47,2018-06-24T19:46:48,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3485,3485,2022,Beijing,36.0,23.0,29.8,35.2,23.0,30.2,64.5,53.0,0.0,0,0.0,,0.0,0.0,25.9,13.4,181.2,1000.0,42.4,7.7,329.9,28.4,9,10.0,2022-07-18T05:00:33,2022-07-18T19:40:27,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2728,2728,2020,Beijing,36.0,25.0,30.4,36.3,25.0,30.8,17.1,46.4,0.0,0,0.0,,0.0,0.0,34.4,21.6,157.6,1002.2,36.9,11.7,298.4,25.7,9,,2020-06-21T04:46:10,2020-06-21T19:46:25,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3513,3513,2022,Beijing,36.0,23.0,28.7,36.3,23.0,29.0,66.7,62.9,0.0,0,0.0,,0.0,0.0,20.6,20.1,328.1,999.7,32.4,7.2,266.2,23.1,8,10.0,2022-08-15T05:25:45,2022-08-15T19:11:41,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
1310,1310,2016,Beijing,36.0,24.0,29.9,41.9,24.0,33.3,23.2,69.5,0.0,0,0.0,,,,,10.8,118.6,1009.3,35.8,8.3,290.3,25.1,9,,2016-08-03T05:14:51,2016-08-03T19:25:48,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3852,3852,2023,Beijing,36.0,24.0,30.3,39.8,24.0,32.3,69.0,57.9,0.0,0,0.0,,0.0,0.0,22.4,15.7,152.2,1005.7,50.2,6.2,315.3,27.3,9,10.0,2023-07-20T05:01:58,2023-07-20T19:39:16,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
